"","cond","rep","domain","mapped_reads"
"1","input","rep1","DCV",984082
"2","input","rep1","FLAG",440403
"3","input","rep1","GFPnb",612028
"4","input","rep1","SNAP",374315
"5","input","rep1","SpyCatcher",387705
"6","input","rep1","WDV",663006
"7","input","rep1","mMobA",860533
"8","input","rep2","DCV",763808
"9","input","rep2","FLAG",540227
"10","input","rep2","GFPnb",800432
"11","input","rep2","SNAP",386969
"12","input","rep2","SpyCatcher",429433
"13","input","rep2","WDV",441373
"14","input","rep2","mMobA",798364
"15","packaging","rep1","DCV",866748
"16","packaging","rep1","FLAG",588126
"17","packaging","rep1","GFPnb",596785
"18","packaging","rep1","SNAP",355788
"19","packaging","rep1","SpyCatcher",464490
"20","packaging","rep1","WDV",495047
"21","packaging","rep1","mMobA",972338
"22","packaging","rep2","DCV",792792
"23","packaging","rep2","FLAG",579228
"24","packaging","rep2","GFPnb",753802
"25","packaging","rep2","SNAP",360936
"26","packaging","rep2","SpyCatcher",439536
"27","packaging","rep2","WDV",446429
"28","packaging","rep2","mMobA",731258
"29","pulldown","rep1","DCV",1103510
"30","pulldown","rep1","FLAG",479651
"31","pulldown","rep1","GFPnb",773476
"32","pulldown","rep1","SNAP",431198
"33","pulldown","rep1","SpyCatcher",1664
"34","pulldown","rep1","WDV",684376
"35","pulldown","rep1","mMobA",953608
"36","pulldown","rep2","DCV",867430
"37","pulldown","rep2","FLAG",584332
"38","pulldown","rep2","GFPnb",878514
"39","pulldown","rep2","SNAP",364218
"40","pulldown","rep2","SpyCatcher",414933
"41","pulldown","rep2","WDV",421941
"42","pulldown","rep2","mMobA",831938
"43","binding","rep1","DCV",1753
"44","binding","rep1","FLAG",544918
"45","binding","rep1","GFPnb",562553
"46","binding","rep1","SNAP",311261
"47","binding","rep1","SpyCatcher",412666
"48","binding","rep1","WDV",359617
"49","binding","rep1","mMobA",495428
"50","binding","rep2","DCV",634851
"51","binding","rep2","FLAG",451741
"52","binding","rep2","GFPnb",561059
"53","binding","rep2","SNAP",256278
"54","binding","rep2","SpyCatcher",334592
"55","binding","rep2","WDV",367036
"56","binding","rep2","mMobA",617489
"57","uptake","rep1","DCV",1781
"58","uptake","rep1","FLAG",308480
"59","uptake","rep1","GFPnb",235074
"60","uptake","rep1","SNAP",289337
"61","uptake","rep1","SpyCatcher",728389
"62","uptake","rep1","WDV",490064
"63","uptake","rep1","mMobA",1330134
"64","uptake","rep2","DCV",815491
"65","uptake","rep2","FLAG",510011
"66","uptake","rep2","GFPnb",630885
"67","uptake","rep2","SNAP",284480
"68","uptake","rep2","SpyCatcher",431248
"69","uptake","rep2","WDV",459667
"70","uptake","rep2","mMobA",780744
"71","infectivity","rep1","DCV",1597
"72","infectivity","rep1","FLAG",530282
"73","infectivity","rep1","GFPnb",685511
"74","infectivity","rep1","SNAP",248758
"75","infectivity","rep1","SpyCatcher",383865
"76","infectivity","rep1","WDV",434667
"77","infectivity","rep1","mMobA",556769
"78","infectivity","rep2","DCV",534941
"79","infectivity","rep2","FLAG",414577
"80","infectivity","rep2","GFPnb",421517
"81","infectivity","rep2","SNAP",179921
"82","infectivity","rep2","SpyCatcher",249392
"83","infectivity","rep2","WDV",318616
"84","infectivity","rep2","mMobA",466958
