"","cond","domain","med_read","med_sd"
"1","input","DCV",1015.5,768.960488254632
"2","input","FLAG",710.5,538.297820405454
"3","input","GFPnb",1036,856.194563437095
"4","input","SNAP",528,369.08781896901
"5","input","SpyCatcher",572.5,428.501339916632
"6","input","WDV",588.5,551.703039105149
"7","input","mMobA",1142,660.597373188612
"8","packaging","DCV",1019,833.975752744659
"9","packaging","FLAG",772,551.454176820839
"10","packaging","GFPnb",961,828.1521517959
"11","packaging","SNAP",488,305.463491476003
"12","packaging","SpyCatcher",598,419.079305626012
"13","packaging","WDV",548.5,495.118848367453
"14","packaging","mMobA",996.5,593.026457659434
"15","pulldown","DCV",1055,899.127097792047
"16","pulldown","FLAG",734,580.114933237645
"17","pulldown","GFPnb",1108,987.576739105548
"18","pulldown","SNAP",472,318.169540043115
"19","pulldown","SpyCatcher",552,393.571945227774
"20","pulldown","WDV",509,490.729026603893
"21","pulldown","mMobA",1145,687.971964878455
"22","binding","DCV",791,624.432735367653
"23","binding","FLAG",618,447.617034562407
"24","binding","GFPnb",706,555.448758504407
"25","binding","SNAP",339,228.614965759481
"26","binding","SpyCatcher",453.5,324.599838112631
"27","binding","WDV",431.5,428.906403605251
"28","binding","mMobA",815,538.660757036369
"29","uptake","DCV",939,823.82321489238
"30","uptake","FLAG",688.5,469.915636547216
"31","uptake","GFPnb",798,594.730298701745
"32","uptake","SNAP",363.5,259.983320049101
"33","uptake","SpyCatcher",581.5,391.327526975991
"34","uptake","WDV",466,629.693039191973
"35","uptake","mMobA",1085.5,681.960105508056
"36","infectivity","DCV",670,517.820289538434
"37","infectivity","FLAG",569,417.48678415694
"38","infectivity","GFPnb",524,415.552702096936
"39","infectivity","SNAP",239,163.952414798687
"40","infectivity","SpyCatcher",338,246.394605730981
"41","infectivity","WDV",369,347.617222334608
"42","infectivity","mMobA",643.5,396.455110605332
